time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-03-11T09:03:44.440Z,36.7081,-116.3196,9.0276,0.01,ml,4,337.15,0.088,0.0329,nn,nn00486666,2015-03-12T02:46:13.615Z,"45km ESE of Beatty, Nevada",earthquake
2015-03-11T09:01:06.560Z,33.0231667,-116.0101667,9.3,1.57,ml,34,54,0.1403,0.35,ci,ci37116567,2015-03-11T15:04:40.726Z,"18km SE of Ocotillo Wells, California",earthquake
2015-03-11T08:54:58.060Z,40.1983333,-121.0856667,10,1.69,md,8,128,0.2177,0.18,nc,nc72409320,2015-03-12T02:43:38.771Z,"5km W of Greenville, California",earthquake
2015-03-11T08:54:50.000Z,62.126,-147.7411,33.9,1,ml,,,,0.37,ak,ak11526627,2015-03-11T10:14:07.483Z,"68km ENE of Sutton-Alpine, Alaska",earthquake
2015-03-11T08:51:41.650Z,-7.0135,129.6694,131.97,4.6,mb,,67,1.88,1.15,us,us10001lhz,2015-03-11T17:07:06.960Z,"209km WNW of Saumlaki, Indonesia",earthquake
2015-03-11T08:50:05.720Z,34.536,-118.978,27.36,2.14,ml,65,28,0.1349,0.32,ci,ci37116559,2015-03-11T17:50:28.910Z,"16km NNW of Fillmore, California",earthquake
2015-03-11T08:47:31.390Z,37.2826667,-118.5205,4.93,1.24,md,9,347,0.393,0.25,nc,nc72409315,2015-03-11T20:23:04.860Z,"10km SSW of West Bishop, California",earthquake
2015-03-11T08:47:11.000Z,60.0409,-147.9461,15.2,2.1,ml,,,,0.51,ak,ak11526625,2015-03-11T10:14:08.713Z,"81km E of Bear Creek, Alaska",earthquake
2015-03-11T08:45:51.720Z,41.5273333,-112.148,6.16,1.42,ml,13,72,0.098,0.09,uu,uu60104182,2015-03-11T22:13:45.710Z,"11km W of Brigham City, Utah",earthquake
2015-03-11T08:25:49.490Z,38.8218346,-122.7681656,3.27,0.56,md,10,107,0.008731,0.02,nc,nc72409310,2015-03-11T10:24:05.148Z,"3km W of Cobb, California",earthquake
2015-03-11T08:22:55.940Z,33.468,-116.5703333,11.32,0.42,ml,22,106,0.03766,0.2,ci,ci37116551,2015-03-11T15:04:43.626Z,"14km SE of Anza, California",earthquake
2015-03-11T08:16:52.000Z,63.3139,-145.4339,0,1.6,ml,,,,0.98,ak,ak11526623,2015-03-11T10:14:08.050Z,"63km S of Deltana, Alaska",earthquake
2015-03-11T08:11:16.900Z,48.4768,-115.6356,7.4,1.5,mc,15,161.999987040001,0.8435181,0.28,mb,mb15641008,2015-03-11T22:51:35.665Z,"11km NNW of Libby, Montana",earthquake
2015-03-11T08:10:10.320Z,35.9403333,-117.9021667,12.04,0.68,ml,14,76,0.06794,0.13,ci,ci37116543,2015-03-11T15:04:45.729Z,"1km NE of Little Lake, California",earthquake
2015-03-11T08:07:53.010Z,36.612999,-121.0656662,8.18,1.1,md,9,71,0.04035,0.03,nc,nc72409300,2015-03-11T09:59:04.326Z,"31km NE of Soledad, California",earthquake
2015-03-11T08:01:31.030Z,35.829,-121.288,11.3,2.48,md,88,143,0.05371,0.08,nc,nc72409290,2015-03-12T02:12:04.462Z,"22km NNW of San Simeon, California",earthquake
2015-03-11T07:46:49.000Z,65.1896,-149.016,13.4,0.7,ml,,,,0.17,ak,ak11526621,2015-03-11T08:46:46.264Z,"60km NW of Ester, Alaska",earthquake
2015-03-11T07:42:19.000Z,62.7463,-151.2315,84.6,1.1,ml,,,,0.87,ak,ak11526620,2015-03-11T19:52:41.427Z,"74km NW of Talkeetna, Alaska",earthquake
2015-03-11T07:29:18.000Z,62.2471,-150.9156,66.4,2,ml,,,,0.36,ak,ak11526579,2015-03-11T08:46:45.681Z,"42km W of Talkeetna, Alaska",earthquake
2015-03-11T07:27:14.060Z,38.8208351,-122.8231659,3.06,1.03,md,20,49,0.009543,0.02,nc,nc72409285,2015-03-11T09:03:05.328Z,"7km NW of The Geysers, California",earthquake
2015-03-11T07:22:59.530Z,33.5986667,-116.8185,9.47,0.06,ml,16,75,0.03968,0.12,ci,ci37116527,2015-03-11T20:50:58.783Z,"14km WNW of Anza, California",earthquake
2015-03-11T07:11:59.790Z,34.2101667,-117.072,7.51,1.85,ml,73,30,0.07241,0.29,ci,ci37116519,2015-03-11T15:06:09.890Z,"3km E of Running Springs, California",earthquake
2015-03-11T06:46:04.820Z,38.186,-112.5995,5.97,1.94,ml,7,123,0.358,0.32,uu,uu60104177,2015-03-11T22:08:04.730Z,"10km SSE of Beaver, Utah",earthquake
2015-03-11T06:15:49.920Z,36.2361679,-120.731163,5.56,1.83,md,7,215,0.06018,0.03,nc,nc72409270,2015-03-11T07:32:04.149Z,"35km WNW of Coalinga, California",earthquake
2015-03-11T06:15:33.470Z,38.7913322,-122.7651672,0.01,1.9,md,30,64,0.01787,0.06,nc,nc72409265,2015-03-11T07:12:50.581Z,"1km NNW of The Geysers, California",earthquake
2015-03-11T06:05:50.410Z,31.5233333,-115.657,10.19,2.57,ml,3,172,0.504,0.13,ci,ci37116511,2015-03-11T18:31:37.483Z,"89km ESE of Maneadero, B.C., Mexico",earthquake
2015-03-11T05:45:09.140Z,37.4858333,-118.8266667,2.76,0.64,md,8,329,0.104,0.02,nc,nc72409255,2015-03-11T18:59:06.482Z,"22km SE of Mammoth Lakes, California",earthquake
2015-03-11T05:39:55.100Z,33.467,-116.5703333,10.05,0.1,ml,16,246,0.03837,0.19,ci,ci37116503,2015-03-11T18:26:42.696Z,"14km SE of Anza, California",earthquake
2015-03-11T05:09:51.750Z,33.8928333,-116.2103333,7.99,1.28,ml,43,53,0.04474,0.11,ci,ci37116495,2015-03-11T20:40:04.230Z,"18km ENE of Thousand Palms, California",earthquake
2015-03-11T05:09:45.230Z,33.4746667,-116.5673333,10.14,0.26,ml,21,135,0.03533,0.15,ci,ci37116487,2015-03-11T20:33:10.794Z,"13km SE of Anza, California",earthquake
2015-03-11T04:57:06.380Z,38.8333321,-122.7906647,2.49,0.56,md,9,87,0.005076,0.01,nc,nc72409235,2015-03-11T05:25:05.706Z,"6km WNW of Cobb, California",earthquake
2015-03-11T04:50:09.380Z,33.6951667,-116.71,21.28,0.52,ml,19,80,0.01633,0.26,ci,ci37116471,2015-03-11T15:05:36.447Z,"5km S of Idyllwild, California",earthquake
2015-03-11T04:44:56.960Z,37.0186667,-121.4735,7.79,2.09,md,85,48,0.01108,0.06,nc,nc72409230,2015-03-11T23:42:05.195Z,"8km E of Gilroy, California",earthquake
2015-03-11T04:40:12.420Z,44.166,-122.856,6.41,-0.18,md,5,127,0.09876,0.25,uw,uw60983141,2015-03-11T18:53:43.270Z,"17km E of Coburg, Oregon",earthquake
2015-03-11T04:38:40.900Z,35.8479,-97.4565,4.02,2.5,mb_lg,,60,0.051,0.42,us,us10001lhd,2015-03-11T23:18:23.127Z,"4km SW of Guthrie, Oklahoma",earthquake
2015-03-11T04:33:17.420Z,34.3221667,-116.9291667,7.95,1.66,ml,71,45,0.06012,0.21,ci,ci37116455,2015-03-11T15:06:15.880Z,"9km N of Big Bear Lake, California",earthquake
2015-03-11T04:24:03.380Z,36.0546667,-117.7155,1.1,1.48,ml,26,75,0.04991,0.25,ci,ci37116447,2015-03-12T02:43:25.199Z,"21km E of Coso Junction, California",earthquake
2015-03-11T04:18:01.280Z,33.4706667,-116.445,14.01,0.43,ml,16,156,0.05501,0.19,ci,ci37116439,2015-03-11T20:27:49.098Z,"23km ESE of Anza, California",earthquake
2015-03-11T04:13:21.640Z,35.018,-116.2935,1.1,2.42,ml,18,61,0.1912,0.1,ci,ci37116423,2015-03-12T02:43:14.132Z,"34km SW of Baker, California",earthquake
2015-03-11T04:12:08.410Z,36.0436667,-117.7115,2.26,0.33,ml,11,72,0.04731,0.12,ci,ci37116431,2015-03-11T18:22:07.647Z,"21km NE of Little Lake, California",earthquake
2015-03-11T04:08:49.870Z,38.8455009,-122.8219986,1.97,0.64,md,9,70,0.009206,0.01,nc,nc72409210,2015-03-11T04:54:05.704Z,"8km WNW of Cobb, California",earthquake
